node_id,lat,lon
b319c717-e591-4c89-ad72-81bc85d4209f,53.93727424300005,-165.50085262999997
c23748fe-c1bd-4e34-ba22-75d0f7df2fcb,53.956673479000074,-165.06268923499997
29a23c02-0248-47d5-ac60-2db6bdf18273,53.96356733200008,-164.90009463899997
cd2f45b6-154c-4869-8d8a-63518a166dbe,53.97023551900003,-164.73746058599997
f878e314-31b4-4879-97c1-ad2c01ad5e28,53.97667808600005,-164.57478827099996
3f03bfc7-210f-4973-959c-7d1862e68af5,53.98289508100004,-164.412078889
2ffae43a-3d7c-4142-a178-3c1c85701b5c,53.988886551000064,-164.24933363599996
7fc36199-1916-4c7c-8217-801355558caa,53.994652545000065,-164.08655371399996
1af99bce-f11d-4b28-b8bf-c9f2e0c6ecdc,54.00019311300008,-163.92374032099997
a23ecb21-ecd5-4261-bb01-5bc92c281bec,54.00550830200007,-163.76089465899997
fe14c9f4-b416-4bd7-87eb-e0b52def6994,54.01059816600008,-163.59801793399998
9abeb325-e82c-4a0d-a0df-c19f2c1be155,54.015462754000055,-163.43511134799996
d8ceeb0c-4c1d-47bd-b681-c811f851f324,54.02010211700008,-163.27217610799997
9bd368af-41c6-4ab1-b412-d33918e3bc3a,54.024516309000035,-163.10921342099996
2ce6be99-7b5e-4301-a1a7-fb297ddd78a8,54.028705382000055,-162.94622449299996
17649c4a-1019-47f0-aa2b-2b3a2f0751f9,54.032669389000034,-162.78321053699997
9cd3697d-2286-4d52-84f2-4c87bb1b8640,54.03640838500007,-162.62017275899998
265b0b2c-e2ac-4964-a93c-6b08ea4f1b0b,54.03992242400005,-162.45711237399996
6b893999-d7b0-457b-b7d7-3892d72e3433,54.04321156200007,-162.29403059199998
1052a63f-43c5-4926-86a0-297af80bb562,54.046275854000044,-162.13092862799996
7cb518ff-5ca9-4475-8355-b97caa8d7960,54.04911535800005,-161.96780769399996
c2c2bfd9-a247-42d5-9a26-e0cd403ef55f,54.051730131000056,-161.80466900699997
3cd59166-83e8-41d1-8882-0d47e168b323,54.05412023000008,-161.64151377999997
860483fe-8adb-42d5-8b00-3df88b861a56,54.05628571500006,-161.47834322999998
e2397024-9d90-4751-b12c-023ad0a98ba8,54.05822664300007,-161.31515857199997
485ffd62-8ea0-493e-ac05-7c4a32ef84b3,54.059943075000035,-161.15196102599998
1b8d5f53-d203-49c6-b050-101f70d83955,54.06143507000007,-160.98875180999997
2974d3aa-e165-4c5d-aabf-27f85f5a681d,54.06270269100003,-160.82553213999998
06d38033-c7f2-4975-98e2-94384f41c784,54.06374599800006,-160.66230323399998
a0711f18-2edb-41fc-9096-37f3d4668f29,54.06456505400007,-160.49906631499996
d72a48fd-5f16-4aee-abcf-573ace6f4413,54.06515992100003,-160.33582259799996
91cf9c40-9017-4e62-b6a9-f1a8a78bea56,54.06553066400005,-160.17257330399997
7eec9fe5-457a-4200-b507-260180692866,54.06567734500004,-160.00931965299998
97a2c4e2-0845-46a6-b3b4-1dba05705b21,54.06560003100003,-159.84606286499996
052ff45e-95d6-4e47-b27e-6687d8a1240c,54.06529878400005,-159.68280415899997
0788b1c4-7e6d-4221-8f12-09d3ea8168a4,54.06477367200006,-159.51954475399998
